p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	peak
3.43666925114185e-12	1.60835509422983	0.147	0.048	1.61052287449335e-06	C1	chr11-409234-410264
3.77800874849576e-12	1.78188558250409	0.121	0.034	1.77048446179882e-06	C1	chr1-204146964-204147229
3.79085096979367e-12	1.07110928813078	0.259	0.121	1.77650269912344e-06	C1	chr10-71637690-71639439
4.87837992088207e-12	1.35620702231317	0.172	0.065	2.28615030394304e-06	C1	chr16-22613821-22615323
6.70913207902641e-12	1.04692701309418	0.21	0.098	3.14409385706207e-06	C1	chr16-79722486-79724137
6.96010438443449e-12	1.44172330141618	0.197	0.071	3.26170675757315e-06	C1	chr5-136227411-136229001
7.40478156895015e-12	1.44399980520929	0.141	0.05	3.47009538187554e-06	C1	chr13-81318901-81320164
8.50053335865954e-12	1.63389942149941	0.142	0.045	3.98359644733526e-06	C1	chr20-6043865-6044705
9.28680279978913e-12	1.37582480421707	0.133	0.051	4.35206510926238e-06	C1	chr9-38385437-38386604
1.06454564891835e-11	0.911444634560078	0.213	0.11	4.9887696290696e-06	C1	chr11-86939563-86942255
1.06664010935663e-11	0.837929162782062	0.176	0.095	4.99858487807686e-06	C1	chr5-1101981-1102792
1.09980473111442e-11	0.96134689731455	0.172	0.085	5.1540039133742e-06	C1	chr5-173883384-173883906
1.23433080783756e-11	1.66104682026285	0.124	0.038	5.7844321214611e-06	C1	chr2-237822-239342
1.35900271215843e-11	1.29230245215091	0.126	0.051	6.36868081996093e-06	C1	chr2-77838438-77840219
1.44793359488106e-11	1.48074832929389	0.118	0.041	6.78543672635518e-06	C1	chr2-198691610-198693675
1.54055599631435e-11	1.38623165844159	0.147	0.055	7.21949215996796e-06	C1	chr1-155300582-155301392
1.6875942451373e-11	1.20085896937254	0.116	0.049	7.90855603504449e-06	C1	chr15-22227702-22228637
1.76524630049932e-11	1.35079972746416	0.224	0.087	8.27245608556696e-06	C1	chr19-30663929-30665090
1.80121226725855e-11	1.28161351562237	0.141	0.057	8.44100303593106e-06	C1	chr6-134502421-134504061
1.87109441311485e-11	1.05812839374368	0.148	0.071	8.76849103723598e-06	C1	chr7-30931189-30932187
2.17475097328288e-11	1.32227182406353	0.112	0.042	1.01915137385858e-05	C1	chr1-21559349-21560370
2.34446057616333e-11	0.997264659550412	0.231	0.111	1.09868221534685e-05	C1	chr5-174189138-174190519
2.54788171540428e-11	1.19057228922445	0.174	0.076	1.19401126040819e-05	C1	chr3-100352198-100353675
2.74028859611202e-11	1.3863911720464	0.132	0.049	1.28417870450738e-05	C1	chr10-28873430-28874372
3.31928238501941e-11	1.25209091421848	0.212	0.087	1.55551198480926e-05	C1	chr7-2623042-2623826
3.34192542147703e-11	1.20497928484648	0.152	0.065	1.56612316834136e-05	C1	chr17-18900378-18901948
4.31372892241693e-11	0.855740566036928	0.232	0.125	2.02153847118332e-05	C1	chr3-141235649-141236113
5.58583240777604e-11	1.42345896975355	0.128	0.047	2.61768305542368e-05	C1	chr15-84824129-84824624
5.58729799117683e-11	0.970023494569669	0.194	0.098	2.61836987030721e-05	C1	chr16-10915419-10916426
5.64536807234123e-11	1.03039476713867	0.37	0.181	2.6455831943732e-05	C1	chr5-1208642-1209753
7.15389024499439e-11	0.953518323848317	0.315	0.16	3.35252043162148e-05	C1	chr1-208058015-208059952
8.37827767722573e-11	1.18935168384761	0.19	0.082	3.92630388960062e-05	C1	chr22-24180772-24181605
8.77610018900001e-11	1.35480887168737	0.201	0.079	4.11273505547089e-05	C1	chr6-817497-819571
9.41014665039788e-11	0.557200068171678	0.426	0.284	4.40986761462931e-05	C1	chr7-41942172-41944074
1.01867012744799e-10	1.27503269897303	0.114	0.046	4.77378363155825e-05	C1	chr5-95799134-95799750
1.10333469825607e-10	1.2680339982179	0.105	0.042	5.17054636309042e-05	C1	chr9-14282646-14283896
1.17007345080194e-10	1.57928605632239	0.134	0.045	5.48330351175862e-05	C1	chr12-48690303-48691350
1.2069238466926e-10	0.984766469318727	0.159	0.079	5.65599515351707e-05	C1	chr7-108589143-108590861
1.34709432634143e-10	1.2079585587395	0.184	0.077	6.31287467059059e-05	C1	chr14-64947664-64948819
1.36569895202437e-10	1.45634021902173	0.118	0.042	6.40006134188227e-05	C1	chr22-31989644-31991351
1.47505060901411e-10	0.975655804447759	0.152	0.075	6.91251491851673e-05	C1	chr2-120257558-120258586
1.65536158699552e-10	1.08838543342493	0.214	0.099	7.75750445152121e-05	C1	chr3-194034206-194036023
1.69839956880269e-10	0.988968248083037	0.2	0.098	7.95919291528438e-05	C1	chr6-39281149-39281933
1.77249169784115e-10	1.18642744129128	0.199	0.086	8.30641011867601e-05	C1	chr15-78933499-78934854
1.83418505441696e-10	1.2875202191978	0.244	0.099	8.59552307866365e-05	C1	chr6-25980974-25982527
1.88328585422745e-10	1.32214968116541	0.132	0.052	8.82562366580756e-05	C1	chr1-114261771-114263621
2.13226920534922e-10	1.04685296279972	0.235	0.111	9.992431854336e-05	C1	chr7-50558239-50559467
2.15834701092275e-10	1.10970174893004	0.158	0.07	0.000101146400138172	C1	chr22-41247404-41248575
2.37952491960546e-10	1.42035465659693	0.105	0.038	0.000111511438354979	C1	chr16-4618968-4619369
2.47139447593015e-10	0.918555323167013	0.244	0.125	0.000115816712186067	C1	chr16-71625144-71627288
2.79620707707431e-10	0.634672313131954	0.212	0.13	0.000131038372632226	C1	chr11-116834863-116836522
3.59263503991241e-10	0.932419111976397	0.194	0.098	0.000168361296611911	C1	chr7-55395320-55396712
3.72051631507624e-10	1.05210546036301	0.157	0.073	0.000174354184021786	C1	chr7-123198152-123200365
3.84019214864926e-10	1.05113201143908	0.143	0.068	0.000179962540642935	C1	chr10-128156732-128157850
4.40973602953743e-10	1.1192545230052	0.111	0.048	0.00020665301857861	C1	chr20-60033127-60034844
4.5258429854296e-10	1.12435089257173	0.109	0.049	0.000212094127241889	C1	chr9-108743351-108744534
4.59301398135229e-10	0.499194057657627	0.405	0.282	0.000215241954906714	C1	chr7-51315323-51317562
4.69715140426917e-10	1.32730103668477	0.137	0.054	0.000220122136543126	C1	chr9-72012206-72013789
4.83116036983945e-10	1.56265381284088	0.123	0.04	0.000226402185295749	C1	chr16-12437347-12438332
4.937886155045e-10	1.27465054380486	0.124	0.05	0.000231403665095259	C1	chr7-113463575-113464959
5.13681764514383e-10	0.788492348615993	0.264	0.146	0.000240726171622611	C1	chr16-87506259-87509077
5.32803247420122e-10	1.00859800225967	0.129	0.062	0.000249687053035244	C1	chr5-78981291-78981746
5.33497194640938e-10	1.56446892659651	0.123	0.041	0.000250012256827388	C1	chr16-72041800-72043581
5.48944140114523e-10	1.56350779345346	0.121	0.04	0.000257251143437729	C1	chr1-6885448-6886079
5.49685745035015e-10	1.46745647276133	0.119	0.042	0.000257598681010014	C1	chr15-50168186-50169444
5.76275103821252e-10	1.08612405373451	0.135	0.063	0.00027005922562865	C1	chr5-159912183-159912923
6.28053396968018e-10	1.11630185750056	0.163	0.074	0.000294324035367725	C1	chr19-19110223-19111422
6.41880964650481e-10	1.04813064198457	0.157	0.075	0.00030080403458319	C1	chr10-379050-380955
6.96822544341952e-10	1.58280801603028	0.122	0.04	0.000326551252132424	C1	chr12-109009322-109010663
6.97020418270031e-10	1.11972095922676	0.204	0.093	0.000326643981593466	C1	chr2-15874326-15876269
7.1830859873247e-10	0.533656337376979	0.317	0.212	0.000336620240315399	C1	chr22-50620002-50623248
8.16203861727837e-10	1.35449270667135	0.219	0.085	0.000382496799517655	C1	chr6-41584624-41585477
8.52593158930629e-10	1.33193269385687	0.134	0.051	0.000399549879476502	C1	chr5-169538166-169539342
8.53349913068321e-10	1.07846536577764	0.129	0.06	0.000399904516411294	C1	chr1-21338715-21339448
9.39476862963374e-10	0.798023238557293	0.126	0.07	0.000440266102813663	C1	chr20-20399233-20400444
9.93812478295018e-10	0.828813709226736	0.148	0.079	0.000465729347890916	C1	chr8-50377747-50379616
1.04923609306514e-09	0.761411979721832	0.239	0.136	0.000491702461057024	C1	chr20-57589797-57590245
1.06368832552792e-09	1.60490234830389	0.18	0.058	0.000498475196303822	C1	chr11-62999489-63000399
1.10880661046021e-09	1.09529940739544	0.119	0.054	0.000519618933053356	C1	chr12-105322144-105322384
1.11319758449979e-09	1.16162400046637	0.15	0.066	0.000521676670826554	C1	chr2-240873917-240874507
1.20780971020886e-09	1.23433959135285	0.124	0.05	0.000566014656685467	C1	chr7-2621985-2622835
1.21911019950298e-09	1.03566191968685	0.169	0.08	0.000571310393682882	C1	chr3-185313386-185314201
1.22387345018263e-09	1.05617582306296	0.164	0.075	0.000573542591085636	C1	chr1-6450850-6451909
1.30513697978615e-09	0.666358520141874	0.302	0.188	0.000611625037700206	C1	chr7-944838-946901
1.30776346314949e-09	0.786697491483655	0.29	0.167	0.00061285588397228	C1	chr20-62069203-62070627
1.40121719003641e-09	1.00051056652871	0.168	0.082	0.000656651010549573	C1	chr7-152084804-152085896
1.41735282917337e-09	0.994321676114033	0.139	0.067	0.000664212638982689	C1	chr17-76567422-76568399
1.54949839737509e-09	0.896065190439394	0.169	0.086	0.000726139884463491	C1	chr17-45934444-45936023
1.57004325461208e-09	1.64400990950421	0.12	0.037	0.000735767800365605	C1	chr3-128605034-128605594
1.59993077659613e-09	1.09978679582636	0.189	0.086	0.000749773959905466	C1	chr1-183859439-183860607
1.68130314488392e-09	1.48661018009175	0.123	0.043	0.000787907411483805	C1	chr1-65158437-65159570
1.93656692777238e-09	1.7848726526729	0.101	0.029	0.000907531422795044	C1	chr20-49823133-49824172
2.25253070092039e-09	0.969835105705452	0.154	0.077	0.00105560120984162	C1	chr2-108978672-108980354
2.46423683824028e-09	1.11333723401141	0.208	0.093	0.00115481284526771	C1	chr2-169385535-169387510
2.59030230028371e-09	1.12595857069937	0.155	0.069	0.00121389077667965	C1	chr12-109578385-109578935
2.72590594704577e-09	0.8301179715505	0.152	0.083	0.00127743857805811	C1	chr5-38483486-38484343
2.99451476147352e-09	1.78288133625166	0.101	0.029	0.00140331645815457	C1	chr1-202856882-202857573
3.05687296240996e-09	1.07368924493596	0.144	0.066	0.00143253931950122	C1	chr10-660686-661936
3.15494381559004e-09	0.91486181081366	0.118	0.06	0.00147849816535614	C1	chr11-48101282-48102307
3.24062886751823e-09	0.945710929218237	0.115	0.059	0.0015186526655562	C1	chr7-125456618-125457082
3.40334439347892e-09	1.06116654536806	0.211	0.098	0.00159490587977163	C1	chr22-23674830-23676376
3.70342707831411e-09	0.579245958292904	0.442	0.295	0.00173553332828326	C1	chr7-143284260-143285715
3.76587957388395e-09	0.868553998965451	0.132	0.071	0.00176480037882966	C1	chr1-43448250-43448667
3.90530950669786e-09	0.817728418495089	0.253	0.138	0.00183014128881431	C1	chr2-2528117-2529397
4.10373264033039e-09	1.50594376097408	0.134	0.046	0.00192312812350539	C1	chr1-202186916-202187615
4.18979622371052e-09	1.15884152242324	0.126	0.056	0.00196346001452124	C1	chr6-7042076-7043368
4.23583641151929e-09	0.810924045114899	0.31	0.173	0.00198503578169388	C1	chr2-73685445-73687181
4.33102393026488e-09	0.61135589009506	0.277	0.177	0.0020296434134161	C1	chr5-134017873-134020016
4.50521662838562e-09	1.23439338361682	0.126	0.052	0.00211127516334372	C1	chr6-51936202-51937570
4.551168404446e-09	1.1947561065362	0.173	0.075	0.00213280949820712	C1	chr17-27460082-27460876
4.59300418261767e-09	1.46933463616711	0.101	0.036	0.00215241495709594	C1	chr18-52069613-52070861
4.685142635363e-09	1.4757474550423	0.145	0.051	0.00219559370806753	C1	chr8-131581321-131583492
4.91837207012989e-09	1.36955996245382	0.11	0.042	0.0023048917848529	C1	chr7-30797109-30797838
4.98119647431349e-09	1.41925478400861	0.132	0.049	0.00233433312256106	C1	chr16-67726198-67726986
5.13641341477206e-09	0.788947224959971	0.292	0.162	0.00240707228215121	C1	chr19-3478127-3480829
5.39060024977191e-09	1.12345548259315	0.12	0.053	0.00252619160445036	C1	chr1-177912969-177914114
5.52353760700195e-09	0.954668733427706	0.136	0.066	0.00258848990523171	C1	chr3-122294085-122296316
5.84845468397901e-09	0.932032712945929	0.245	0.125	0.0027407554700984	C1	chr7-73647114-73648502
6.05007200034275e-09	1.27221172373142	0.151	0.061	0.00283523919144862	C1	chr22-41475711-41476308
6.30223657780807e-09	0.922543609415813	0.222	0.114	0.00295341082522162	C1	chr1-203282050-203283280
6.61685613567444e-09	0.875807467578431	0.145	0.076	0.00310085067400498	C1	chr6-167675848-167676556
6.65272442704336e-09	1.2706848382865	0.189	0.076	0.0031176595955209	C1	chr22-25183555-25184482
7.06586346460751e-09	1.17021758538667	0.186	0.082	0.00331126852955555	C1	chr12-107911869-107913041
7.588659301417e-09	0.885497827585856	0.177	0.093	0.00355626581976375	C1	chr22-19970117-19971918
8.51170214662182e-09	1.26983120576837	0.109	0.045	0.00398883046526924	C1	chr12-68467411-68468502
8.84615368749479e-09	0.850639893011406	0.262	0.143	0.004145564156417	C1	chr19-14061101-14062726
9.38256616345599e-09	1.0287362114471	0.171	0.081	0.00439694259861422	C1	chr19-35811649-35813194
1.0150919376126e-08	1.79428857874333	0.11	0.031	0.00475701519631457	C1	chr6-109305585-109307145
1.01787785630884e-08	1.11682560063461	0.133	0.06	0.00477007081924157	C1	chr10-681675-682294
1.02633877537195e-08	0.93217618126058	0.111	0.055	0.00480972113963781	C1	chr17-63476328-63478033
1.04228879335938e-08	0.934572836454759	0.159	0.081	0.00488446754943212	C1	chr5-139383264-139383539
1.06464664949716e-08	0.829234416183589	0.241	0.13	0.00498924294707203	C1	chr17-50914603-50915523
1.09999815758257e-08	0.679902560011554	0.179	0.109	0.00515491036589762	C1	chr8-104460147-104460915
1.12693151067513e-08	0.985935868011386	0.179	0.09	0.00528112786916176	C1	chr7-151696754-151697399
1.1492658070925e-08	1.06401911992571	0.164	0.076	0.00538579285911951	C1	chr6-967266-969569
1.2170455194244e-08	1.5532226692599	0.101	0.033	0.00570342824722338	C1	chr3-135033730-135035141
1.22697781290228e-08	1.01647432172793	0.127	0.062	0.00574997385482581	C1	chr13-76954627-76955971
1.23604312324041e-08	0.847169808512011	0.135	0.073	0.00579245652801028	C1	chr17-14756178-14757076
1.24554079348815e-08	0.815695248982362	0.187	0.103	0.0058369653651156	C1	chr19-32869397-32870583
1.26949591304861e-08	1.41817889296091	0.1	0.037	0.00594922600236058	C1	chr5-140542352-140543316
1.30029286254476e-08	1.03578819065291	0.13	0.061	0.0060935494388149	C1	chr12-94569767-94572046
1.30217507054825e-08	1.3033797485861	0.127	0.051	0.00610237001135957	C1	chr16-46885617-46886447
1.31464458354562e-08	0.986867118509839	0.114	0.055	0.006160805765424	C1	chr10-71757280-71757853
1.36952445258244e-08	0.948669059392749	0.158	0.08	0.00641798874689255	C1	chr11-44834244-44835614
1.49080698365815e-08	1.05971984175825	0.144	0.069	0.00698635385944734	C1	chr1-151012911-151013887
1.65533562944466e-08	1.21965776172054	0.147	0.063	0.00775738280691022	C1	chr2-109521276-109522506
1.72718504678809e-08	1.27866095465355	0.12	0.049	0.00809409001291256	C1	chr2-85650596-85651636
1.76934809960108e-08	0.639532270247447	0.167	0.103	0.00829167830567953	C1	chr1-180261250-180262402
1.78953862228157e-08	1.08710444775517	0.156	0.07	0.00838629695021191	C1	chr1-230728574-230729797
1.91410352617622e-08	0.567966103361252	0.281	0.183	0.00897004421368437	C1	chr18-6369934-6371628
1.97687752215268e-08	1.15912235977539	0.143	0.063	0.0092642213632889	C1	chr7-115968106-115968915
2.16576562181803e-08	1.07219781142613	0.122	0.056	0.0101494057758696	C1	chr7-133548431-133549861
2.17193064213927e-08	0.851131335181525	0.108	0.06	0.0101782968489508	C1	chr20-1623617-1625035
2.22386377862919e-08	1.13476036801446	0.177	0.078	0.0104216705871522	C1	chr2-127161130-127162427
2.24287185650023e-08	0.552254038827759	0.254	0.168	0.0105107479523985	C1	chr1-67815391-67816824
2.24613296652098e-08	0.824254534457602	0.179	0.095	0.0105260304596776	C1	chr16-85974447-85976048
2.28462164615047e-08	0.79118526354441	0.183	0.103	0.0107063995741385	C1	chr11-47189059-47189752
2.29516313931936e-08	0.848132579892183	0.276	0.151	0.0107558000681609	C1	chr2-86079612-86081087
2.32015949687038e-08	1.24329787671371	0.141	0.057	0.0108729402485887	C1	chr22-47101373-47103448
2.34558120943057e-08	0.631017179819854	0.191	0.118	0.0109920737659424	C1	chr1-26224733-26226255
2.39898753217116e-08	1.01870254968141	0.108	0.051	0.0112423512821384	C1	chr10-59804359-59805376
2.40351361866331e-08	1.57101307061468	0.117	0.038	0.0112635618360057	C1	chr12-70179740-70180550
2.49900674591367e-08	1.39859641519626	0.113	0.042	0.0117110703233078	C1	chr5-35023214-35024374
2.50784645748799e-08	1.05363148962474	0.122	0.057	0.0117524957752614	C1	chr20-36150843-36151222
2.50796139489904e-08	1.29658086956634	0.168	0.067	0.0117530344053014	C1	chr17-45137653-45138272
2.51687074045682e-08	1.07160005489838	0.11	0.05	0.0117947861822954	C1	chr5-154301697-154302722
2.54289374959341e-08	1.13898726964182	0.182	0.08	0.0119167375497821	C1	chr2-109690335-109691690
2.57408110852755e-08	1.07155185778888	0.15	0.068	0.0120628905580816	C1	chr5-135608393-135609717
2.60137426566593e-08	0.520545673906066	0.181	0.122	0.0121907942074476	C1	chr10-58813336-58814193
2.6184430092897e-08	0.776204639597162	0.232	0.133	0.0122707832900042	C1	chr5-169090975-169092090
2.66787115307756e-08	0.598598576596697	0.264	0.166	0.0125024179059558	C1	chr12-3259628-3260690
2.69138459343983e-08	1.24412977517585	0.135	0.056	0.0126126087063912	C1	chr7-103151037-103151420
2.7828517624112e-08	0.968977062897843	0.208	0.103	0.01304125038567	C1	chr12-80218816-80219990
2.82571462877163e-08	1.15631191039219	0.183	0.081	0.0132421182076662	C1	chr12-50104691-50105243
2.82674005551864e-08	1.31635532866533	0.171	0.067	0.0132469236547765	C1	chr12-6359887-6360724
2.86052809685188e-08	1.4023518821511	0.139	0.052	0.013405264214996	C1	chr7-5552748-5553039
2.86991903012926e-08	1.02111492979004	0.139	0.066	0.0134492728517044	C1	chr6-43297479-43298621
2.95714105462886e-08	0.957539175974229	0.236	0.118	0.0138580205528967	C1	chr11-65793196-65795098
3.12282275910471e-08	0.953839242023963	0.123	0.061	0.0146344530677648	C1	chr19-34305269-34307292
3.13298214024122e-08	1.47247144250897	0.121	0.042	0.014682062873991	C1	chr7-150845157-150846751
3.28732579253723e-08	1.19516578487634	0.163	0.07	0.0154053619883093	C1	chr20-38913152-38914109
3.36503544456645e-08	1.00631429110493	0.233	0.113	0.0157695319535173	C1	chr16-86118021-86119264
3.44136513971665e-08	0.439779966937854	0.434	0.309	0.0161272350406027	C1	chr5-149160127-149161721
3.72611737871231e-08	1.14069271325318	0.255	0.112	0.0174616666106857	C1	chr2-127136441-127138752
3.74816409298165e-08	1.02643783528545	0.277	0.133	0.017564983907299	C1	chr12-56229860-56231602
3.76465261242138e-08	0.688844313734886	0.238	0.142	0.0176422538910642	C1	chr10-22778768-22781187
3.90720980691605e-08	1.34582004673408	0.13	0.05	0.0183103182460526	C1	chr1-147896806-147898165
3.95007109233879e-08	1.08721925940406	0.194	0.09	0.0185111786593164	C1	chr22-43925173-43926306
3.95992352426321e-08	0.714103015404286	0.252	0.147	0.0185573500125195	C1	chr1-43284578-43286646
4.00764104089882e-08	1.37869042748881	0.118	0.044	0.0187809681335537	C1	chr7-116614083-116615355
4.03078405783248e-08	1.41424292453766	0.106	0.038	0.0188894230223798	C1	chr7-28055683-28056815
4.08660094768932e-08	0.840471065232797	0.138	0.075	0.019150997155147	C1	chr20-50678100-50678752
4.14561691774145e-08	0.964007686530044	0.16	0.08	0.0194275631054426	C1	chr3-171676140-171677118
4.29249002563772e-08	0.893853936062766	0.239	0.125	0.0201158530822458	C1	chr8-22219631-22221245
4.29863597462429e-08	1.39183433647571	0.115	0.043	0.0201446547815221	C1	chr12-64997927-64999638
4.42805001039411e-08	0.943433239594994	0.168	0.084	0.0207511264832098	C1	chr20-38245460-38247486
4.50518086596893e-08	1.13295739195265	0.108	0.047	0.0211125840403815	C1	chr15-60888683-60889815
4.55842339696508e-08	0.704276157609083	0.324	0.192	0.0213620939809635	C1	chr8-139744265-139746190
4.6539797237108e-08	1.15357819724737	0.185	0.082	0.0218098986394287	C1	chr11-46348482-46349446
4.78902915553218e-08	1.17884724855914	0.142	0.06	0.0224427794412789	C1	chr11-7260304-7262482
4.88720323652543e-08	1.2088893482453	0.155	0.064	0.0229028516552968	C1	chr5-141841339-141842118
5.19208919344021e-08	1.01725993571165	0.118	0.056	0.0243316356663269	C1	chr5-34727520-34728680
5.4426113539963e-08	1.38705821096689	0.107	0.04	0.0255056551621193	C1	chr5-149048514-149049994
5.44729778732501e-08	0.632935725875515	0.172	0.105	0.0255276171477633	C1	chr1-47962476-47964299
5.58651801947819e-08	0.841523198137056	0.195	0.108	0.0261800435295004	C1	chr5-179680754-179681535
5.79397120099334e-08	1.75427199984161	0.105	0.03	0.0271522292995031	C1	chr16-81783941-81784583
5.927445504243e-08	0.918909728584776	0.118	0.061	0.0277777285920789	C1	chr10-70227267-70228382
6.09217026610744e-08	0.794482645841002	0.261	0.147	0.0285496765963566	C1	chr2-74429409-74430662
6.50523974967289e-08	1.03954964548351	0.214	0.102	0.0304854399864946	C1	chr22-50699799-50700718
6.51437728334332e-08	1.27979414714649	0.103	0.041	0.030528261119159	C1	chr12-50117259-50117740
6.65002745104361e-08	1.16090222011193	0.146	0.063	0.0311639571435511	C1	chr2-127535178-127536592
6.7028333713718e-08	0.904983955768924	0.166	0.087	0.0314114209999259	C1	chr4-6929379-6930398
7.20813704093509e-08	0.661503265923053	0.197	0.12	0.0337794205335637	C1	chr17-50627813-50628484
7.38508491700906e-08	0.977978129012101	0.14	0.07	0.0346086495957304	C1	chr5-150542693-150543384
7.51122805633581e-08	0.459226934868936	0.356	0.248	0.0351997929281259	C1	chr1-119630811-119632696
7.54219508966255e-08	0.67144479855368	0.14	0.085	0.0353449134267347	C1	chr6-134222997-134224921
7.8284952672186e-08	0.931297857507218	0.254	0.131	0.0366865990858138	C1	chr12-119681012-119681505
8.02954220579933e-08	1.24860131217363	0.12	0.049	0.0376287633436153	C1	chr11-132813491-132815625
8.4421596811344e-08	0.909872771222568	0.242	0.125	0.0395624084921033	C1	chr16-13779651-13782417
8.68589332833688e-08	0.698806561866436	0.138	0.083	0.0407046150456518	C1	chr13-23615419-23616047
8.90051036314616e-08	1.53099530298777	0.105	0.036	0.0417103727097082	C1	chr16-54347614-54348316
9.02357919712329e-08	0.852851976357046	0.188	0.103	0.0422871089556869	C1	chr12-2266691-2267887
