Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	cluster
GO Biological Process	GO:0050878	regulation of body fluid levels	21	1.055971e-07	0.001102434	5.249684e-05	2.356489	19.09621	45	0.05804318	0.1367781	80	8.76828e-06	0.09154084	0.001144261	2.121511	18.38313	39	603	0.07090909	0.06467662	C2
GO Biological Process	GO:0042790	transcription of nuclear large rRNA transcript from RNA polymerase I promoter	25	2.040168e-07	0.002129935	8.519742e-05	83.85201	0.04770309	4	0.0001449942	0.01215805	232	0.0009277648	1	0.04174942	32.80182	0.06097223	2	2	0.003636364	1	C2
GO Biological Process	GO:0007596	blood coagulation	27	2.677988e-07	0.002795819	0.0001035489	2.465401	15.81893	39	0.04808184	0.118541	153	0.000163356	1	0.01114664	2.029653	15.27354	31	501	0.05636364	0.06187625	C2
GO Biological Process	GO:0042060	wound healing	30	2.83399e-07	0.002958686	9.862285e-05	2.24837	20.45927	46	0.06218622	0.1398176	87	1.187253e-05	0.1239492	0.001424704	2.093733	18.62702	39	611	0.07090909	0.06382979	C2
GO Biological Process	GO:0007599	hemostasis	32	3.03974e-07	0.003173489	9.917152e-05	2.452885	15.89964	39	0.04832719	0.118541	159	0.0001946744	1	0.01278239	2.009598	15.42597	31	506	0.05636364	0.06126482	C2
GO Biological Process	GO:0030949	positive regulation of vascular endothelial growth factor receptor signaling pathway	36	4.660649e-07	0.004865718	0.0001351588	12.11086	0.6605639	8	0.002007793	0.02431611	130	8.545014e-05	0.8920995	0.006862304	10.25057	0.4877778	5	16	0.009090909	0.3125	C2
GO Biological Process	GO:0080134	regulation of response to stress	42	7.158928e-07	0.007473921	0.0001779505	2.032387	26.07772	53	0.07926357	0.1610942	74	6.336103e-06	0.06614892	0.0008939043	1.950594	25.12056	49	824	0.08909091	0.05946602	C2
GO Biological Process	GO:0043069	negative regulation of programmed cell death	46	1.14826e-06	0.01198783	0.0002606051	2.073394	23.63275	49	0.07183207	0.1489362	59	2.913072e-06	0.03041247	0.0005154656	2.124214	20.24278	43	664	0.07818182	0.06475904	C2
GO Biological Process	GO:0030198	extracellular matrix organization	49	1.471008e-06	0.01535732	0.0003134148	2.567712	12.46246	32	0.03787981	0.09726444	42	1.063928e-06	0.01110741	0.0002644621	2.856933	9.450696	27	310	0.04909091	0.08709677	C2
GO Biological Process	GO:0043062	extracellular structure organization	50	1.514374e-06	0.01581006	0.0003162013	2.564135	12.47984	32	0.03793265	0.09726444	43	1.132435e-06	0.01182262	0.0002749447	2.847746	9.481182	27	311	0.04909091	0.08681672	C2
GO Biological Process	GO:0060548	negative regulation of cell death	53	1.573002e-06	0.01642214	0.0003098517	2.013344	25.33099	51	0.07699389	0.1550152	51	1.581146e-06	0.01650716	0.0003236699	2.129988	21.12688	45	693	0.08181818	0.06493506	C2
GO Biological Process	GO:0043066	negative regulation of apoptotic process	54	1.751392e-06	0.01828453	0.0003386025	2.061709	23.28165	48	0.0707649	0.1458967	69	5.251977e-06	0.05483064	0.000794647	2.09692	20.02938	42	657	0.07636364	0.06392694	C2
GO Biological Process	GO:0000188	inactivation of MAPK activity	56	2.123097e-06	0.02216513	0.0003958059	8.231566	1.093352	9	0.003323259	0.02735562	82	9.357131e-06	0.09768845	0.001191323	8.831259	0.792639	7	26	0.01272727	0.2692308	C2
GO Biological Process	GO:1902336	positive regulation of retinal ganglion cell axon guidance	58	2.608207e-06	0.02722968	0.0004694773	24.12527	0.2072516	5	0.0006299441	0.01519757	232	0.0009277648	1	0.04174942	32.80182	0.06097223	2	2	0.003636364	1	C2
GO Biological Process	GO:0007595	lactation	62	3.97438e-06	0.04149253	0.0006692343	6.613614	1.512033	10	0.004595844	0.03039514	151	0.0001551839	1	0.01072927	5.887506	1.188958	7	39	0.01272727	0.1794872	C2
GO Biological Process	GO:0002684	positive regulation of immune system process	63	4.321924e-06	0.04512089	0.0007162045	2.143455	19.12799	41	0.0581398	0.1246201	247	0.001039413	1	0.04393308	1.780362	18.53556	33	608	0.06	0.05427632	C2
GO Biological Process	GO:0001775	cell activation	67	6.50621e-06	0.06792483	0.001013803	2.106936	19.45954	41	0.05914753	0.1246201	104	2.777894e-05	0.2900121	0.002788578	2.086335	17.25514	36	566	0.06545455	0.06360424	C2
GO Biological Process	GO:0070206	protein trimerization	70	8.249827e-06	0.08612819	0.001230403	10.03456	0.6975889	7	0.002120331	0.0212766	65	3.908186e-06	0.04080146	0.0006277148	8.200455	0.9755557	8	32	0.01454545	0.25	C2
GO Biological Process	GO:0043467	regulation of generation of precursor metabolites and energy	74	9.782141e-06	0.1021256	0.001380075	5.337318	2.06096	11	0.006264316	0.03343465	195	0.0004495877	1	0.02407023	4.373576	1.829167	8	60	0.01454545	0.1333333	C2
GO Biological Process	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	75	1.003001e-05	0.1047133	0.001396177	3.014838	6.965548	21	0.02117188	0.06382979	127	7.623816e-05	0.7959264	0.006267137	3.051332	5.243612	16	172	0.02909091	0.09302326	C2
GO Biological Process	GO:0032941	secretion by tissue	76	1.136167e-05	0.1186158	0.001560735	5.250953	2.094858	11	0.006367349	0.03343465	173	0.0002776514	1	0.01675538	4.685974	1.707222	8	56	0.01454545	0.1428571	C2
GO Biological Process	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	81	1.458475e-05	0.1522648	0.001879812	3.426331	4.961576	17	0.01508078	0.05167173	192	0.0004412122	1	0.02399091	3.148975	3.810764	12	125	0.02181818	0.096	C2
GO Biological Process	GO:0001938	positive regulation of endothelial cell proliferation	82	1.462591e-05	0.1526945	0.001862128	4.665738	2.57194	12	0.007817448	0.03647416	161	0.0002145069	1	0.01390964	4.859529	1.64625	8	54	0.01454545	0.1481481	C2
GO Biological Process	GO:0030947	regulation of vascular endothelial growth factor receptor signaling pathway	83	1.705548e-05	0.1780592	0.002145292	7.378257	1.084267	8	0.003295644	0.02431611	240	0.00100004	1	0.04350174	6.308042	0.792639	5	26	0.009090909	0.1923077	C2
GO Biological Process	GO:0001890	placenta development	84	1.765737e-05	0.1843429	0.002194559	3.374484	5.037807	17	0.01531248	0.05167173	177	0.0002895443	1	0.01707821	3.112581	4.176598	13	137	0.02363636	0.09489051	C2
GO Biological Process	GO:0010906	regulation of glucose metabolic process	94	2.589135e-05	0.2703057	0.002875592	4.081333	3.185234	13	0.009681562	0.03951368	176	0.0002828877	1	0.01678038	3.814165	2.621806	10	86	0.01818182	0.1162791	C2
GO Biological Process	GO:0055001	muscle cell development	95	2.683792e-05	0.2801879	0.002949346	3.416901	4.682606	16	0.01423284	0.04863222	96	2.031955e-05	0.2121361	0.002209751	4.022864	3.231528	13	106	0.02363636	0.1226415	C2
GO Biological Process	GO:0007589	body fluid secretion	98	2.885601e-05	0.3012567	0.003074048	4.737822	2.321742	11	0.007056967	0.03343465	154	0.0001678208	1	0.01137694	4.472975	2.012084	9	66	0.01636364	0.1363636	C2
GO Biological Process	GO:0010741	negative regulation of intracellular protein kinase cascade	102	3.233025e-05	0.3375278	0.003309096	3.084074	5.836437	18	0.01773993	0.05471125	238	0.0009415954	1	0.0413036	2.75112	4.725348	13	155	0.02363636	0.08387097	C2
GO Biological Process	GO:0032844	regulation of homeostatic process	106	3.472931e-05	0.362574	0.003420509	2.343445	11.94822	28	0.03631679	0.08510638	112	4.372923e-05	0.4565332	0.004076189	2.605199	8.444654	22	277	0.04	0.07942238	C2
GO Biological Process	GO:0001701	in utero embryonic development	119	4.678071e-05	0.4883906	0.004104123	2.156094	14.84165	32	0.0451114	0.09726444	209	0.0005298144	1	0.02646537	2.143301	10.73111	23	352	0.04181818	0.06534091	C2
GO Biological Process	GO:0080135	regulation of cellular response to stress	126	5.925187e-05	0.6185895	0.004909441	2.271408	12.32716	28	0.03746856	0.08510638	136	0.0001024458	1	0.007864222	2.349981	10.21285	24	335	0.04363636	0.07164179	C2
GO Biological Process	GO:0010675	regulation of cellular carbohydrate metabolic process	127	6.06732e-05	0.6334282	0.004987624	3.528516	3.967674	14	0.0120598	0.04255319	197	0.0004569703	1	0.02421711	3.340926	3.2925	11	108	0.02	0.1018519	C2
GO Biological Process	GO:0043407	negative regulation of MAP kinase activity	132	6.918325e-05	0.7222731	0.005471766	4.292637	2.562527	11	0.007788837	0.03343465	154	0.0001678208	1	0.01137694	4.472975	2.012084	9	66	0.01636364	0.1363636	C2
GO Biological Process	GO:0006109	regulation of carbohydrate metabolic process	140	8.786078e-05	0.9172665	0.006551904	3.405375	4.111148	14	0.01249589	0.04255319	219	0.0006719842	1	0.03203432	3.193097	3.444931	11	113	0.02	0.09734513	C2
GO Biological Process	GO:0055002	striated muscle cell development	145	9.376095e-05	0.9788643	0.006750788	3.384055	4.137049	14	0.01257462	0.04255319	146	0.0001475249	1	0.01054904	3.798105	2.896181	11	95	0.02	0.1157895	C2
GO Biological Process	GO:0010810	regulation of cell-substrate adhesion	151	0.0001056352	1	0.00730352	2.912882	5.836144	17	0.01773904	0.05167173	239	0.0009652245	1	0.04216294	3.057797	3.597362	11	118	0.02	0.09322034	C2
GO Biological Process	GO:0071229	cellular response to acid	159	0.0001361317	1	0.008938459	4.810735	1.870816	9	0.00568637	0.02735562	217	0.000666358	1	0.03205888	4.685974	1.49382	7	49	0.01272727	0.1428571	C2
GO Biological Process	GO:0001892	embryonic placenta development	165	0.0001476712	1	0.00934356	3.424686	3.795968	13	0.0115379	0.03951368	251	0.001120392	1	0.04660117	3.473134	2.59132	9	85	0.01636364	0.1058824	C2
GO Biological Process	GO:0045214	sarcomere organization	180	0.0001843358	1	0.01069148	7.452069	0.8051455	6	0.002447251	0.01823708	240	0.00100004	1	0.04350174	6.308042	0.792639	5	26	0.009090909	0.1923077	C2
GO Biological Process	GO:0090287	regulation of cellular response to growth factor stimulus	188	0.000209295	1	0.01162255	2.494482	8.017698	20	0.0243699	0.06079027	97	2.137871e-05	0.2231937	0.002300966	3.385994	4.725348	16	155	0.02909091	0.1032258	C2
GO Biological Process	GO:0046883	regulation of hormone secretion	197	0.0002494955	1	0.013222	2.337929	9.410036	22	0.02860193	0.0668693	143	0.0001321369	1	0.009646918	2.802165	6.066737	17	199	0.03090909	0.08542714	C2
GO Biological Process	GO:0034351	negative regulation of glial cell apoptotic process	199	0.0002545744	1	0.01335556	13.43173	0.2978023	4	0.000905174	0.01215805	207	0.0005261472	1	0.02653612	16.40091	0.1829167	3	6	0.005454545	0.5	C2
GO Biological Process	GO:0030029	actin filament-based process	209	0.0003023914	1	0.0151051	2.056111	13.61794	28	0.04139192	0.08510638	93	1.834891e-05	0.1915626	0.002059813	2.404322	11.6457	28	382	0.05090909	0.07329843	C2
GO Biological Process	GO:0032535	regulation of cellular component size	212	0.0003156399	1	0.01554378	2.484177	7.648409	19	0.02324745	0.05775076	172	0.0002739385	1	0.01662743	2.733485	5.853334	16	192	0.02909091	0.08333333	C2
GO Biological Process	GO:0040017	positive regulation of locomotion	217	0.0003235038	1	0.01556396	2.11621	12.28611	26	0.03734381	0.07902736	88	1.299814e-05	0.1357006	0.001542052	2.818906	7.804445	22	256	0.04	0.0859375	C2
GO Biological Process	GO:0030335	positive regulation of cell migration	220	0.0003522666	1	0.01671665	2.142366	11.66934	25	0.03546913	0.07598784	91	1.758929e-05	0.1836322	0.002017936	2.846439	7.37764	21	242	0.03818182	0.08677686	C2
GO Biological Process	GO:0001558	regulation of cell growth	224	0.0003645302	1	0.01698971	2.137324	11.69687	25	0.03555279	0.07598784	157	0.0001788743	1	0.01189457	2.366033	9.298265	22	305	0.04	0.07213115	C2
GO Biological Process	GO:2000147	positive regulation of cell motility	225	0.0003701697	1	0.01717587	2.135063	11.70925	25	0.03559044	0.07598784	99	2.390707e-05	0.2495898	0.002521109	2.788819	7.53007	21	247	0.03818182	0.08502024	C2
GO Biological Process	GO:0051272	positive regulation of cellular component movement	235	0.0004335414	1	0.01926031	2.111831	11.83807	25	0.03598197	0.07598784	109	3.41294e-05	0.3563109	0.003268908	2.722681	7.712987	21	253	0.03818182	0.08300395	C2
GO Biological Process	GO:0001936	regulation of endothelial cell proliferation	249	0.0005082349	1	0.02130913	3.17854	3.775318	12	0.01147513	0.03647416	194	0.0004469414	1	0.0240519	3.936218	2.286459	9	75	0.01636364	0.12	C2
GO Biological Process	GO:0070207	protein homotrimerization	251	0.0005185325	1	0.02156765	11.10705	0.3601315	4	0.001094625	0.01215805	228	0.0008921128	1	0.04084938	8.747152	0.4572917	4	15	0.007272727	0.2666667	C2
GO Biological Process	GO:0051090	regulation of sequence-specific DNA binding transcription factor activity	256	0.0005508996	1	0.02246637	2.04134	12.73673	26	0.03871347	0.07902736	202	0.0004896152	1	0.02530486	2.200122	9.999446	22	328	0.04	0.06707317	C2
GO Biological Process	GO:0046627	negative regulation of insulin receptor signaling pathway	279	0.0007779076	1	0.0291088	5.659232	1.060215	6	0.003222537	0.01823708	220	0.0006794956	1	0.03224515	6.833712	0.7316668	5	24	0.009090909	0.2083333	C2
GO Biological Process	GO:1900077	negative regulation of cellular response to insulin stimulus	286	0.0008534683	1	0.03115458	5.557604	1.079602	6	0.003281465	0.01823708	240	0.00100004	1	0.04350174	6.308042	0.792639	5	26	0.009090909	0.1923077	C2
GO Biological Process	GO:2000811	negative regulation of anoikis	299	0.0009617877	1	0.03358215	6.788728	0.736515	5	0.002238647	0.01519757	228	0.0008921128	1	0.04084938	8.747152	0.4572917	4	15	0.007272727	0.2666667	C2
GO Biological Process	GO:0090343	positive regulation of cell aging	302	0.0009837619	1	0.03400819	15.79207	0.1899687	3	0.0005774126	0.009118541	207	0.0005261472	1	0.02653612	16.40091	0.1829167	3	6	0.005454545	0.5	C2
GO Biological Process	GO:0042692	muscle cell differentiation	307	0.001066972	1	0.036284	2.05182	11.20956	23	0.03407161	0.06990881	98	2.228139e-05	0.2326177	0.00237365	2.890028	6.920348	20	227	0.03636364	0.08810573	C2
GO Biological Process	GO:0070208	protein heterotrimerization	321	0.001228652	1	0.0399599	14.60899	0.205353	3	0.0006241734	0.009118541	150	0.0001549905	1	0.01078734	13.12073	0.3048611	4	10	0.007272727	0.4	C2
GO Biological Process	GO:0051146	striated muscle cell differentiation	340	0.001437877	1	0.04415128	2.304899	7.375594	17	0.02241822	0.05167173	188	0.0003969885	1	0.02204553	2.870159	4.877778	14	160	0.02545455	0.0875	C2
GO Biological Process	GO:0010632	regulation of epithelial cell migration	350	0.001528566	1	0.04559494	2.446969	6.130033	15	0.01863232	0.04559271	125	7.011852e-05	0.7320373	0.005856299	3.821571	3.14007	12	103	0.02181818	0.1165049	C2
GO Biological Process	GO:0050769	positive regulation of neurogenesis	364	0.001730772	1	0.04964082	2.26417	7.508272	17	0.02282149	0.05167173	206	0.000509803	1	0.02583662	3.099384	3.871737	12	127	0.02181818	0.09448819	C2
Disease Ontology	DOID:178	vascular disease	5	1.739182e-11	3.887072e-08	7.774144e-09	2.117914	39.66166	84	0.1205522	0.2553191	24	1.158234e-08	2.588653e-05	1.078605e-06	1.992124	36.64431	73	1202	0.1327273	0.06073211	C2
Disease Ontology	DOID:684	hepatocellular carcinoma	15	4.067732e-10	9.091381e-07	6.060921e-08	2.231803	30.02056	67	0.09124792	0.2036474	18	1.213254e-09	2.711623e-06	1.506457e-07	2.312702	25.94368	60	851	0.1090909	0.07050529	C2
Disease Ontology	DOID:686	liver and intrahepatic biliary tract carcinoma	17	7.163895e-10	1.601131e-06	9.418415e-08	2.201334	30.4361	67	0.09251093	0.2036474	22	2.067045e-09	4.619846e-06	2.09993e-07	2.280544	26.30952	60	863	0.1090909	0.06952491	C2
Disease Ontology	DOID:120	female genital cancer	21	6.290487e-09	1.405924e-05	6.694875e-07	2.20573	27.20188	60	0.0826805	0.1823708	47	3.408153e-07	0.0007617222	1.620686e-05	2.12296	24.02306	51	788	0.09272727	0.06472081	C2
Disease Ontology	DOID:2394	ovarian neoplasm	25	2.847727e-08	6.36467e-05	2.545868e-06	2.209999	24.88689	55	0.07564403	0.1671733	58	2.259745e-06	0.00505053	8.70781e-05	2.081219	22.10243	46	725	0.08363636	0.06344828	C2
Disease Ontology	DOID:2144	malignant neoplasm of ovary	27	3.386838e-08	7.569583e-05	2.803549e-06	2.219441	24.33045	54	0.07395274	0.1641337	61	3.237553e-06	0.007235931	0.0001186218	2.073149	21.70611	45	712	0.08181818	0.06320225	C2
Disease Ontology	DOID:3342	bone inflammation disease	28	3.972777e-08	8.879157e-05	3.171127e-06	2.275851	22.4092	51	0.06811308	0.1550152	51	1.423877e-06	0.003182365	6.239932e-05	2.160599	20.36472	44	668	0.08	0.06586826	C2
Disease Ontology	DOID:1244	malignant neoplasm of female genital organ	29	4.322266e-08	9.660265e-05	3.331126e-06	2.20292	24.51292	54	0.07450734	0.1641337	55	1.80601e-06	0.004036432	7.338968e-05	2.098586	21.91952	46	719	0.08363636	0.06397775	C2
Disease Ontology	DOID:1281	female reproductive cancer	32	6.14359e-08	0.0001373092	4.290914e-06	2.179167	24.78012	54	0.0753195	0.1641337	59	2.344981e-06	0.005241033	8.883106e-05	2.078352	22.13292	46	726	0.08363636	0.06336088	C2
Disease Ontology	DOID:4961	bone marrow disease	38	2.365525e-07	0.0005286948	1.391302e-05	2.477683	15.74052	39	0.04784351	0.118541	71	1.444443e-05	0.0322833	0.0004546944	2.311037	13.41389	31	440	0.05636364	0.07045455	C2
Disease Ontology	DOID:0080001	bone disease	39	2.68157e-07	0.0005993309	1.536746e-05	2.012349	28.82203	58	0.08760496	0.1762918	57	2.118555e-06	0.00473497	8.306966e-05	2.012381	24.84618	50	815	0.09090909	0.06134969	C2
Disease Ontology	DOID:848	arthritis	40	3.268797e-07	0.0007305761	1.82644e-05	2.212403	21.24387	47	0.06457103	0.1428571	70	1.202299e-05	0.02687138	0.0003838769	2.069515	19.3282	40	634	0.07272727	0.06309148	C2
Disease Ontology	DOID:749	active peptic ulcer disease	41	3.454802e-07	0.0007721482	1.883288e-05	73.40789	0.05449005	4	0.0001656233	0.01215805	108	0.0009277648	1	0.01919958	32.80182	0.06097223	2	2	0.003636364	1	C2
Disease Ontology	DOID:3905	lung carcinoma	46	4.883094e-07	0.001091372	2.372547e-05	2.341208	17.51232	41	0.05322895	0.1246201	40	1.453509e-07	0.0003248593	8.121482e-06	2.582271	14.32847	37	470	0.06727273	0.0787234	C2
Disease Ontology	DOID:911	malignant neoplasm of brain	49	5.431411e-07	0.00121392	2.477388e-05	2.507187	14.35872	36	0.04364353	0.1094225	35	9.844345e-08	0.0002200211	6.286317e-06	2.811584	11.73715	33	385	0.06	0.08571429	C2
Disease Ontology	DOID:3068	glioblastoma	53	8.360662e-07	0.001868608	3.525675e-05	2.637732	12.13163	32	0.03687427	0.09726444	39	1.324372e-07	0.0002959971	7.58967e-06	3.092427	9.054376	28	297	0.05090909	0.09427609	C2
Disease Ontology	DOID:4001	epithelial ovarian cancer	57	1.075564e-06	0.002403886	4.217343e-05	2.904509	9.295891	27	0.02825499	0.08206687	95	0.0003427993	0.7661564	0.008064805	2.368362	8.444654	20	277	0.03636364	0.07220217	C2
Disease Ontology	DOID:3069	astrocytoma	58	1.138998e-06	0.002545661	4.38907e-05	2.466557	14.18982	35	0.04313016	0.106383	45	2.171283e-07	0.0004852818	1.078404e-05	2.769547	11.55424	32	379	0.05818182	0.08443272	C2
Disease Ontology	DOID:368	neoplasm of cerebrum	59	1.166237e-06	0.00260654	4.417864e-05	2.42516	14.84438	36	0.0451197	0.1094225	41	1.500353e-07	0.0003353289	8.178754e-06	2.761378	11.95056	33	392	0.06	0.08418367	C2
Disease Ontology	DOID:2126	primary brain tumor	60	1.274291e-06	0.00284804	4.746734e-05	2.45417	14.26144	35	0.04334785	0.106383	46	2.304432e-07	0.0005150406	1.119653e-05	2.762258	11.58472	32	380	0.05818182	0.08421053	C2
Disease Ontology	DOID:1659	supratentorial neoplasm	61	1.275102e-06	0.002849853	4.67189e-05	2.415654	14.90279	36	0.04529725	0.1094225	42	1.688722e-07	0.0003774294	8.986413e-06	2.74736	12.01153	33	394	0.06	0.08375635	C2
Disease Ontology	DOID:3169	papillary epithelial neoplasm	65	2.045701e-06	0.004572142	7.034064e-05	3.480242	5.746726	20	0.01746725	0.06079027	73	1.816926e-05	0.0406083	0.000556278	3.430255	4.664376	16	153	0.02909091	0.1045752	C2
Disease Ontology	DOID:326	ischemia	66	2.060462e-06	0.004605133	6.977474e-05	2.401429	14.57465	35	0.04429986	0.106383	106	0.0007776576	1	0.01639684	1.950769	13.8407	27	454	0.04909091	0.05947137	C2
Disease Ontology	DOID:3908	non-small cell lung carcinoma	67	2.140584e-06	0.004784205	7.140605e-05	2.360766	15.24929	36	0.04635042	0.1094225	50	1.30178e-06	0.002909478	5.818957e-05	2.553913	12.52979	32	411	0.05818182	0.07785888	C2
Disease Ontology	DOID:0001816	angiosarcoma	72	3.957048e-06	0.008844002	0.0001228334	14.95134	0.4013019	6	0.001219763	0.01823708	132	0.00206332	1	0.03493576	10.93394	0.274375	3	9	0.005454545	0.3333333	C2
Disease Ontology	DOID:2528	myeloid metaplasia	75	4.815281e-06	0.01076215	0.0001434954	10.91076	0.6415684	7	0.001950056	0.0212766	85	0.0001549905	0.3464038	0.004075338	13.12073	0.3048611	4	10	0.007272727	0.4	C2
Disease Ontology	DOID:4960	bone marrow cancer	79	5.719428e-06	0.01278292	0.0001618091	2.363101	13.9647	33	0.04244589	0.100304	84	0.00014565	0.3255277	0.00387533	2.209449	11.76764	26	386	0.04727273	0.06735751	C2
Disease Ontology	DOID:2620	ductal, lobular, and medullary neoplasm	80	5.849008e-06	0.01307253	0.0001634067	2.709624	9.595427	26	0.02916543	0.07902736	99	0.0004257549	0.9515622	0.009611739	2.460136	7.316668	18	240	0.03272727	0.075	C2
Disease Ontology	DOID:9538	multiple myeloma	81	6.267018e-06	0.01400679	0.0001729233	2.840125	8.450332	24	0.0256849	0.07294833	117	0.001149582	1	0.02195996	2.323462	7.316668	17	240	0.03090909	0.07083333	C2
Disease Ontology	DOID:449	head neoplasm	83	6.806775e-06	0.01521314	0.0001832909	2.209405	16.74659	37	0.0509015	0.112462	56	2.054774e-06	0.00459242	8.20075e-05	2.419223	14.0541	34	461	0.06181818	0.07375271	C2
Disease Ontology	DOID:0070004	myeloma	85	8.04918e-06	0.01798992	0.0002116461	2.362103	13.54725	32	0.04117706	0.09726444	88	0.0001853077	0.4141627	0.004706394	2.216339	11.27986	25	370	0.04545455	0.06756757	C2
Disease Ontology	DOID:1555	urticaria	86	8.101177e-06	0.01810613	0.0002105364	6.089336	1.642215	10	0.004991535	0.03039514	109	0.000959355	1	0.01967118	4.415629	1.585278	7	52	0.01272727	0.1346154	C2
Disease Ontology	DOID:1790	malignant mesothelioma	91	1.070216e-05	0.02391933	0.0002628498	4.817343	2.491	12	0.007571427	0.03647416	101	0.0006283524	1	0.01390463	4.16531	1.920625	8	63	0.01454545	0.1269841	C2
Disease Ontology	DOID:3721	plasmacytoma	92	1.140423e-05	0.02548845	0.0002770484	2.737581	8.766864	24	0.026647	0.07294833	125	0.001315753	1	0.02352566	2.294777	7.408126	17	243	0.03090909	0.06995885	C2
Disease Ontology	DOID:484	vascular hemostatic disease	95	1.550182e-05	0.03464657	0.0003647007	2.685757	8.936028	24	0.02716118	0.07294833	151	0.003270877	1	0.04841331	2.104268	8.07882	17	265	0.03090909	0.06415094	C2
Disease Ontology	DOID:706	mature B-cell lymphocytic neoplasm	96	1.590587e-05	0.03554962	0.0003703085	2.681436	8.950429	24	0.02720495	0.07294833	131	0.001861212	1	0.03175427	2.221637	7.652015	17	251	0.03090909	0.06772908	C2
Disease Ontology	DOID:3995	transitional cell carcinoma	97	1.756341e-05	0.03925422	0.0004046827	5.005972	2.197376	11	0.006678953	0.03343465	92	0.0002776514	0.6205509	0.006745118	4.685974	1.707222	8	56	0.01454545	0.1428571	C2
Disease Ontology	DOID:3963	thyroid carcinoma	106	2.113666e-05	0.04724044	0.0004456645	2.959686	6.757474	20	0.02053944	0.06079027	120	0.00120447	1	0.02243325	2.565505	5.457015	14	179	0.02545455	0.07821229	C2
Disease Ontology	DOID:4905	pancreatic carcinoma	107	2.164721e-05	0.04838151	0.0004521637	2.699046	8.521529	23	0.0259013	0.06990881	113	0.001044884	1	0.02066651	2.418567	6.615487	16	217	0.02909091	0.07373272	C2
