Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	group
MSigDB Pathway	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Genes involved in Cytokine Signaling in Immune system	5	6.402311e-21	8.451051e-18	1.69021e-18	2.2869	69.96372	160	0.02167401	0.04956629	1	4.182232e-06	0.005520546	0.005520546	2.191569	17.33917	38	266	0.03231293	0.1428571	IFN1
MSigDB Pathway	PID_IL4_2PATHWAY	IL4-mediated signaling events	7	9.530616e-19	1.258041e-15	1.797202e-16	3.630274	18.73137	68	0.005802778	0.02106568	4	3.508199e-05	0.04630823	0.01157706	3.464094	4.041461	14	62	0.01190476	0.2258065	IFN1
MSigDB Pathway	REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	Genes involved in Growth hormone receptor signaling	8	1.903984e-18	2.513259e-15	3.141574e-16	4.88297	9.830082	48	0.003045255	0.01486989	7	9.128522e-05	0.1204965	0.01721378	5.113662	1.564437	8	24	0.006802721	0.3333333	IFN1
MSigDB Pathway	PID_A6B1_A6B4_INTEGRIN_PATHWAY	a6b1 and a6b4 Integrin signaling	11	9.596828e-16	1.266781e-12	1.151619e-13	3.637323	15.39594	56	0.004769498	0.0173482	3	2.724077e-05	0.03595782	0.01198594	4.001996	2.998503	12	46	0.01020408	0.2608696	IFN1
MSigDB Pathway	PID_EPOPATHWAY	EPO signaling pathway	16	4.566986e-12	6.028422e-09	3.767763e-10	3.475906	12.65857	44	0.00392149	0.01363073	5	4.129252e-05	0.05450613	0.01090123	4.512055	2.216285	10	34	0.008503401	0.2941176	IFN1
GO Biological Process	GO:0045087	innate immune response	3	1.961886e-51	2.048209e-47	6.827363e-48	2.090414	231.5331	484	0.05992057	0.1252588	4	6.179051e-12	6.450929e-08	1.612732e-08	1.950279	56.4022	110	731	0.07902299	0.1504788	IFNG
GO Biological Process	GO:0031347	regulation of defense response	4	2.233417e-44	2.331687e-40	5.829218e-41	2.286325	152.2093	348	0.03939165	0.09006211	17	2.293793e-08	0.000239472	1.408659e-05	1.974667	35.95543	71	466	0.05100575	0.1523605	IFNG
GO Biological Process	GO:0019221	cytokine-mediated signaling pathway	5	3.397452e-42	3.54694e-38	7.09388e-39	2.706697	90.14677	244	0.02332991	0.063147	43	6.059937e-07	0.006326574	0.0001471296	2.059143	24.76758	51	321	0.03663793	0.1588785	IFNG
GO Biological Process	GO:0009615	response to virus	6	2.210338e-41	2.307593e-37	3.845988e-38	3.03753	65.84298	200	0.01704011	0.05175983	77	8.10746e-06	0.08464188	0.001099245	2.073678	19.2894	40	250	0.02873563	0.16	IFNG
GO Biological Process	GO:0071345	cellular response to cytokine stimulus	7	3.110174e-41	3.247022e-37	4.638602e-38	2.328829	133.9729	312	0.03467208	0.08074534	31	1.871327e-07	0.001953665	6.302146e-05	1.936625	33.56355	65	435	0.0466954	0.1494253	IFNG
GO Biological Process	GO:0045088	regulation of innate immune response	8	4.875041e-39	5.089543e-35	6.361929e-36	2.717629	82.42479	224	0.02133147	0.05797101	15	1.822202e-08	0.0001902379	1.268253e-05	2.440259	18.44066	45	239	0.03232759	0.1882845	IFNG
GO Biological Process	GO:0034097	response to cytokine stimulus	9	7.150535e-39	7.465159e-35	8.294621e-36	2.102107	173.1596	364	0.04481356	0.0942029	29	1.405911e-07	0.001467771	5.06128e-05	1.851498	40.50773	75	525	0.05387931	0.1428571	IFNG
GO Biological Process	GO:0051607	defense response to virus	12	3.418587e-36	3.569005e-32	2.974171e-33	3.940293	31.46974	124	0.008144343	0.0320911	124	6.156662e-05	0.6427555	0.005183512	2.276843	11.41932	26	148	0.01867816	0.1756757	IFNG
GO Biological Process	GO:0034340	response to type I interferon	13	1.592788e-33	1.662871e-29	1.279131e-30	6.321833	11.3891	72	0.00294749	0.01863354	196	0.0004262325	1	0.0227034	2.749195	5.092401	14	66	0.01005747	0.2121212	IFNG
GO Biological Process	GO:0001817	regulation of cytokine production	15	1.388849e-31	1.449958e-27	9.666389e-29	2.088745	143.6269	300	0.03717052	0.07763975	56	2.141584e-06	0.02235814	0.0003992524	1.838788	33.71786	62	437	0.04454023	0.1418764	IFNG
GO Biological Process	GO:0060337	type I interferon-mediated signaling pathway	17	1.211779e-30	1.265097e-26	7.441749e-28	6.047356	11.24458	68	0.002910089	0.01759834	246	0.001040509	1	0.04415819	2.632599	4.938085	13	64	0.00933908	0.203125	IFNG
GO Biological Process	GO:0071357	cellular response to type I interferon	18	1.262665e-30	1.318222e-26	7.323457e-28	6.043001	11.25269	68	0.002912186	0.01759834	255	0.001210366	1	0.04955381	2.592098	5.015243	13	65	0.00933908	0.2	IFNG
GO Biological Process	GO:0032479	regulation of type I interferon production	20	1.963494e-28	2.049888e-24	1.024944e-25	3.818103	26.19102	100	0.006778214	0.02587992	187	0.0003915894	1	0.021862	2.345231	8.101546	19	105	0.01364943	0.1809524	IFNG
GO Biological Process	GO:0060333	interferon-gamma-mediated signaling pathway	23	7.892609e-27	8.239884e-23	3.582558e-24	4.402978	18.16952	80	0.004702257	0.02070393	57	2.259171e-06	0.02358575	0.000413785	3.611939	4.706613	17	61	0.01221264	0.2786885	IFNG
GO Biological Process	GO:0043122	regulation of I-kappaB kinase/NF-kappaB cascade	24	2.834074e-26	2.958773e-22	1.232822e-23	2.533179	66.31984	168	0.01716352	0.04347826	68	4.932264e-06	0.05149284	0.0007572476	2.245629	15.58583	35	202	0.02514368	0.1732673	IFNG
GO Biological Process	GO:0031349	positive regulation of defense response	26	2.983721e-25	3.115005e-21	1.198079e-22	2.243491	90.92971	204	0.02353253	0.05279503	52	1.699774e-06	0.01774564	0.0003412623	2.206041	18.13203	40	235	0.02873563	0.1702128	IFNG
GO Biological Process	GO:0002252	immune effector process	27	9.743434e-25	1.017215e-20	3.767461e-22	2.110916	108.01	228	0.02795289	0.05900621	199	0.0004356511	1	0.02285526	1.636763	29.93714	49	388	0.03520115	0.1262887	IFNG
GO Biological Process	GO:0001819	positive regulation of cytokine production	28	1.582488e-24	1.652117e-20	5.90042e-22	2.276404	84.34355	192	0.02182804	0.04968944	61	2.721542e-06	0.0284129	0.0004657852	2.142661	19.13508	41	248	0.02945402	0.1653226	IFNG
GO Biological Process	GO:0002819	regulation of adaptive immune response	29	2.979894e-24	3.111009e-20	1.072762e-21	3.014736	38.47767	116	0.009957988	0.0300207	64	3.731686e-06	0.0389588	0.0006087313	2.777248	8.64165	24	112	0.01724138	0.2142857	IFNG
GO Biological Process	GO:0045089	positive regulation of innate immune response	31	3.050157e-23	3.184364e-19	1.027214e-20	2.425754	65.95888	160	0.0170701	0.04140787	47	1.186037e-06	0.01238223	0.0002634516	2.458024	13.42542	33	174	0.0237069	0.1896552	IFNG
GO Biological Process	GO:0034341	response to interferon-gamma	33	1.024008e-22	1.069064e-18	3.239589e-20	3.096235	33.58918	104	0.008692852	0.02691511	51	1.639203e-06	0.01711328	0.0003355545	2.980912	7.715759	23	100	0.01652299	0.23	IFNG
GO Biological Process	GO:0002821	positive regulation of adaptive immune response	34	7.05353e-22	7.363885e-18	2.165849e-19	3.980783	18.08689	72	0.004680873	0.01863354	111	4.511982e-05	0.4710509	0.004243702	3.187005	4.706613	15	61	0.01077586	0.2459016	IFNG
GO Biological Process	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	35	7.15761e-22	7.472545e-18	2.135013e-19	4.184213	16.25156	68	0.004205891	0.01759834	135	9.986812e-05	1	0.007723135	3.128394	4.47514	14	58	0.01005747	0.2413793	IFNG
GO Biological Process	GO:0002218	activation of innate immune response	36	4.545921e-21	4.745942e-17	1.318317e-18	2.502259	54.3509	136	0.01406597	0.03519669	72	6.849302e-06	0.07150671	0.0009931488	2.468664	11.34217	28	147	0.02011494	0.1904762	IFNG
GO Biological Process	GO:0033673	negative regulation of kinase activity	37	2.412697e-20	2.518856e-16	6.807718e-18	2.208112	76.0831	168	0.01969024	0.04347826	99	2.963168e-05	0.3093547	0.003124795	2.183561	14.197	31	184	0.02227011	0.1684783	IFNG
GO Biological Process	GO:0060334	regulation of interferon-gamma-mediated signaling pathway	38	2.782991e-20	2.905443e-16	7.645902e-18	6.008227	7.323292	44	0.001895262	0.01138716	175	0.0002951408	1	0.01760726	4.320163	1.851782	8	24	0.005747126	0.3333333	IFNG
GO Biological Process	GO:0060330	regulation of response to interferon-gamma	39	2.959231e-20	3.089437e-16	7.921634e-18	5.998246	7.335478	44	0.001898416	0.01138716	191	0.0004048717	1	0.02213016	4.147356	1.92894	8	25	0.005747126	0.32	IFNG
GO Biological Process	GO:0006469	negative regulation of protein kinase activity	40	3.719739e-20	3.883408e-16	9.708519e-18	2.248848	71.14755	160	0.01841293	0.04140787	126	6.463062e-05	0.6747437	0.005355109	2.160081	13.42542	29	174	0.02083333	0.1666667	IFNG
GO Biological Process	GO:0071346	cellular response to interferon-gamma	41	4.727105e-20	4.935098e-16	1.203682e-17	3.167502	27.78215	88	0.007189996	0.02277433	81	1.151988e-05	0.1202675	0.001484785	3.00304	6.326922	19	82	0.01364943	0.2317073	IFNG
GO Biological Process	GO:0002703	regulation of leukocyte mediated immunity	42	4.996828e-20	5.216688e-16	1.242069e-17	2.905335	34.41944	100	0.008907724	0.02587992	96	2.612737e-05	0.2727697	0.002841351	2.547788	9.027438	23	117	0.01652299	0.1965812	IFNG
GO Biological Process	GO:0002758	innate immune response-activating signal transduction	43	5.107314e-20	5.332036e-16	1.240008e-17	2.468797	53.46735	132	0.0138373	0.03416149	76	7.816776e-06	0.08160714	0.001073778	2.499523	10.80206	27	140	0.01939655	0.1928571	IFNG
GO Biological Process	GO:0002706	regulation of lymphocyte mediated immunity	44	5.616563e-20	5.863692e-16	1.332657e-17	3.15857	27.86071	88	0.007210328	0.02277433	98	2.623036e-05	0.273845	0.002794336	2.757551	7.252813	20	94	0.01436782	0.212766	IFNG
GO Biological Process	GO:0002697	regulation of immune effector process	45	9.966305e-20	1.040482e-15	2.312183e-17	2.175037	77.24008	168	0.01998967	0.04347826	136	0.0001049851	1	0.00805915	1.91051	19.36655	37	251	0.02658046	0.1474104	IFNG
GO Biological Process	GO:0051348	negative regulation of transferase activity	46	1.346572e-19	1.405821e-15	3.056133e-17	2.145218	80.17835	172	0.02075009	0.04451346	108	3.797808e-05	0.3964912	0.003671214	2.126849	15.04573	32	195	0.02298851	0.1641026	IFNG
GO Biological Process	GO:0050829	defense response to Gram-negative bacterium	47	1.754659e-19	1.831864e-15	3.897583e-17	6.388646	6.261108	40	0.00162037	0.01035197	150	0.0001475049	1	0.01026634	4.712905	1.697467	8	22	0.005747126	0.3636364	IFNG
GO Biological Process	GO:0002705	positive regulation of leukocyte mediated immunity	49	2.97695e-19	3.107936e-15	6.342726e-17	3.720217	18.2785	68	0.004730461	0.01759834	111	4.511982e-05	0.4710509	0.004243702	3.187005	4.706613	15	61	0.01077586	0.2459016	IFNG
GO Biological Process	GO:0035872	nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	50	3.815198e-19	3.983067e-15	7.966133e-17	3.891549	16.44589	64	0.004256183	0.01656315	138	0.0001111603	1	0.008409518	3.45613	3.472091	12	45	0.00862069	0.2666667	IFNG
GO Biological Process	GO:0031581	hemidesmosome assembly	51	6.002348e-19	6.266451e-15	1.228716e-16	8.227268	3.889505	32	0.001006601	0.008281573	143	0.0001284464	1	0.009377485	6.480244	0.925891	6	12	0.004310345	0.5	IFNG
GO Biological Process	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	52	8.054807e-19	8.409219e-15	1.617157e-16	2.856846	33.6035	96	0.008696557	0.02484472	103	3.278509e-05	0.3422763	0.003323071	2.64243	7.947231	21	103	0.01508621	0.2038835	IFNG
GO Biological Process	GO:0002221	pattern recognition receptor signaling pathway	53	1.220088e-18	1.273772e-14	2.403343e-16	2.409599	53.12087	128	0.01374764	0.03312629	85	1.541303e-05	0.160912	0.001893083	2.459655	10.57059	26	137	0.01867816	0.189781	IFNG
GO Biological Process	GO:0002708	positive regulation of lymphocyte mediated immunity	56	8.542688e-18	8.918566e-14	1.592601e-15	3.645307	17.55682	64	0.004543691	0.01656315	139	0.0001217468	1	0.009144148	3.07537	4.552298	14	59	0.01005747	0.2372881	IFNG
GO Biological Process	GO:0010713	negative regulation of collagen metabolic process	59	3.96852e-17	4.143135e-13	7.022263e-15	14.89845	1.342422	20	0.0003474176	0.005175983	106	3.530087e-05	0.3685411	0.003476803	12.96049	0.3086303	4	4	0.002873563	1	IFNG
GO Biological Process	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB cascade	60	6.226255e-17	6.50021e-13	1.083368e-14	2.446347	45.78255	112	0.01184849	0.02898551	231	0.0008009386	1	0.03619826	2.041721	11.26501	23	146	0.01652299	0.1575342	IFNG
GO Biological Process	GO:0002699	positive regulation of immune effector process	63	1.25817e-16	1.313529e-12	2.084967e-14	2.467697	43.76551	108	0.01132648	0.02795031	89	1.953848e-05	0.2039817	0.00229193	2.592098	8.873122	23	115	0.01652299	0.2	IFNG
GO Biological Process	GO:0001916	positive regulation of T cell mediated cytotoxicity	69	1.062657e-15	1.109414e-11	1.607846e-13	5.487501	6.560363	36	0.001697817	0.00931677	215	0.0005455678	1	0.02649176	3.987843	2.006097	8	26	0.005747126	0.3076923	IFNG
GO Biological Process	GO:0002224	toll-like receptor signaling pathway	70	1.068098e-15	1.115094e-11	1.592992e-13	2.344303	47.77539	112	0.01236423	0.02898551	123	5.954009e-05	0.6215985	0.005053647	2.423506	9.490383	23	123	0.01652299	0.1869919	IFNG
GO Biological Process	GO:0031343	positive regulation of cell killing	77	1.520574e-14	1.587479e-10	2.061661e-12	3.600282	14.44331	52	0.003737918	0.01345756	119	5.307094e-05	0.5540606	0.004655972	3.702997	3.240619	12	42	0.00862069	0.2857143	IFNG
GO Biological Process	GO:0001914	regulation of T cell mediated cytotoxicity	79	3.14323e-14	3.281532e-10	4.153838e-12	4.413793	9.0625	40	0.002345367	0.01035197	189	0.0004006469	1	0.02213097	3.762722	2.391885	9	31	0.006465517	0.2903226	IFNG
GO Biological Process	GO:0031341	regulation of cell killing	85	7.344531e-14	7.66769e-10	9.020812e-12	3.269642	17.12726	56	0.004432521	0.01449275	129	7.728233e-05	0.8068275	0.006254477	3.369727	3.857879	13	50	0.00933908	0.26	IFNG
GO Biological Process	GO:0060396	growth hormone receptor signaling pathway	86	8.320178e-14	8.686266e-10	1.010031e-11	3.441763	15.10854	52	0.003910077	0.01345756	97	2.613796e-05	0.2728803	0.002813199	4.628746	2.160412	10	28	0.007183908	0.3571429	IFNG
GO Biological Process	GO:0071378	cellular response to growth hormone stimulus	88	1.03441e-13	1.079924e-09	1.227186e-11	3.421774	15.1968	52	0.003932918	0.01345756	107	3.71467e-05	0.3878115	0.003624407	4.469134	2.23757	10	29	0.007183908	0.3448276	IFNG
GO Biological Process	GO:0007044	cell-substrate junction assembly	92	2.008195e-13	2.096556e-09	2.278865e-11	3.571726	13.43888	48	0.003477971	0.01242236	174	0.0002864693	1	0.01718816	3.600136	2.777673	10	36	0.007183908	0.2777778	IFNG
GO Biological Process	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	94	2.524386e-13	2.635459e-09	2.80368e-11	3.548462	13.52699	48	0.003500773	0.01242236	141	0.0001232696	1	0.009127196	3.655522	3.009146	11	39	0.007902299	0.2820513	IFNG
GO Biological Process	GO:0035666	TRIF-dependent toll-like receptor signaling pathway	95	2.614972e-13	2.730031e-09	2.873717e-11	2.538673	31.51253	80	0.008155416	0.02070393	166	0.0002189005	1	0.013767	2.693089	5.941134	16	77	0.01149425	0.2077922	IFNG
GO Biological Process	GO:0032966	negative regulation of collagen biosynthetic process	98	4.442092e-13	4.637544e-09	4.732188e-11	12.92179	1.238218	16	0.0003204499	0.004140787	203	0.0004584285	1	0.02357632	12.96049	0.2314728	3	3	0.002155172	1	IFNG
GO Biological Process	GO:0060397	JAK-STAT cascade involved in growth hormone signaling pathway	99	4.917215e-13	5.133572e-09	5.185427e-11	3.727588	11.80388	44	0.003054834	0.01138716	191	0.0004048717	1	0.02213016	4.147356	1.92894	8	25	0.005747126	0.32	IFNG
GO Biological Process	GO:0071347	cellular response to interleukin-1	105	9.02791e-13	9.425138e-09	8.976322e-11	3.065522	18.26769	56	0.004727662	0.01449275	119	5.307094e-05	0.5540606	0.004655972	3.702997	3.240619	12	42	0.00862069	0.2857143	IFNG
GO Biological Process	GO:0001910	regulation of leukocyte mediated cytotoxicity	107	1.118872e-12	1.168102e-08	1.091684e-10	3.207712	16.21093	52	0.004195376	0.01345756	159	0.0001748537	1	0.01148096	3.309061	3.626407	12	47	0.00862069	0.2553191	IFNG
GO Biological Process	GO:0001959	regulation of cytokine-mediated signaling pathway	113	1.526323e-12	1.593481e-08	1.41016e-10	2.448799	32.66907	80	0.008454729	0.02070393	182	0.000353099	1	0.02025469	2.503731	6.789868	17	88	0.01221264	0.1931818	IFNG
