Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov
GO Biological Process	GO:0060333	interferon-gamma-mediated signaling pathway	129	8.039908e-10	8.393664e-06	6.506716e-08	2.685947	18.98771	51	0.004702257	0.01263001	807	0.003772935	1	0.04880972	1.716463	13.39965	23	61	0.005803684	0.3770492
GO Biological Process	GO:0072239	metanephric glomerulus vasculature development	133	8.942029e-10	9.335478e-06	7.019157e-08	4.972736	4.625221	23	0.001145424	0.005695889	736	0.002502658	1	0.03549966	3.793633	1.317998	5	6	0.00126167	0.8333333
GO Biological Process	GO:0097084	vascular smooth muscle cell development	143	1.248951e-09	1.303905e-05	9.118216e-08	6.415865	2.805545	18	0.0006947859	0.004457652	736	0.002502658	1	0.03549966	3.793633	1.317998	5	6	0.00126167	0.8333333
GO Biological Process	GO:0060982	coronary artery morphogenesis	156	2.675062e-09	2.792765e-05	1.790234e-07	7.065755	2.264443	16	0.0005607834	0.003962358	711	0.00232563	1	0.03414849	4.552359	0.8786653	4	4	0.001009336	1
GO Biological Process	GO:0072224	metanephric glomerulus development	192	1.170185e-08	0.0001221673	6.362881e-07	4.011299	6.232396	25	0.001543436	0.006191184	648	0.001560346	1	0.02513891	3.186652	2.196663	7	10	0.001766339	0.7
GO Biological Process	GO:0002274	myeloid leukocyte activation	206	1.886826e-08	0.0001969846	9.562361e-07	2.10893	32.71802	69	0.00810253	0.01708767	615	0.001256065	1	0.02132247	1.714525	16.91431	29	77	0.007317689	0.3766234
GO Biological Process	GO:0035924	cellular response to vascular endothelial growth factor stimulus	212	2.151859e-08	0.0002246541	1.059689e-06	2.774486	14.41709	40	0.003570353	0.009905894	312	2.186462e-05	0.2282666	0.0007316238	2.845225	5.271992	15	24	0.003785011	0.625
GO Biological Process	GO:0003025	regulation of systemic arterial blood pressure by baroreceptor feedback	249	8.520026e-08	0.0008894907	3.572252e-06	3.862385	5.95487	23	0.001474708	0.005695889	736	0.002502658	1	0.03549966	3.793633	1.317998	5	6	0.00126167	0.8333333
GO Biological Process	GO:0048844	artery morphogenesis	250	9.437609e-08	0.0009852864	3.941146e-06	2.03036	33.4916	68	0.008294105	0.01684002	213	1.115801e-06	0.01164896	5.468996e-05	2.465861	10.54398	26	48	0.006560686	0.5416667
GO Biological Process	GO:0035886	vascular smooth muscle cell differentiation	252	1.104055e-07	0.001152633	4.573942e-06	3.356683	8.043654	27	0.00199199	0.006686478	411	0.0001347664	1	0.003423263	3.414269	2.635996	9	12	0.002271007	0.75
GO Biological Process	GO:0048146	positive regulation of fibroblast proliferation	263	1.414316e-07	0.001476546	5.614243e-06	2.234205	23.72208	53	0.005874711	0.01312531	746	0.002678421	1	0.03748353	1.905639	9.445652	18	43	0.004542014	0.4186047
GO Biological Process	GO:0002367	cytokine production involved in immune response	264	1.435143e-07	0.001498289	5.675338e-06	4.942787	3.439355	17	0.0008517471	0.004210005	422	0.0001588837	1	0.003930677	3.983314	1.757331	7	8	0.001766339	0.875
GO Biological Process	GO:0061097	regulation of protein tyrosine kinase activity	269	1.657796e-07	0.001730739	6.433974e-06	2.262708	22.53937	51	0.005581814	0.01263001	440	0.0002025324	1	0.004805541	2.086498	10.54398	22	48	0.00555135	0.4583333
GO Biological Process	GO:0015937	coenzyme A biosynthetic process	278	2.253704e-07	0.002352867	8.46355e-06	5.454137	2.750206	15	0.0006810812	0.00371471	648	0.001560346	1	0.02513891	3.186652	2.196663	7	10	0.001766339	0.7
GO Biological Process	GO:0072202	cell differentiation involved in metanephros development	303	4.420685e-07	0.004615195	1.523167e-05	3.204747	8.112965	26	0.002009154	0.006438831	783	0.003476902	1	0.04635869	2.896956	2.416329	7	11	0.001766339	0.6363636
GO Biological Process	GO:0061098	positive regulation of protein tyrosine kinase activity	309	4.88545e-07	0.00510041	1.650618e-05	2.597089	13.86168	36	0.003432807	0.008915305	415	0.000147127	1	0.003701219	2.529089	5.930991	15	27	0.003785011	0.5555556
GO Biological Process	GO:0045776	negative regulation of blood pressure	319	6.201977e-07	0.006474864	2.029738e-05	2.428674	16.4699	40	0.004078726	0.009905894	503	0.0004565427	1	0.009475757	2.211146	7.688321	17	35	0.00428968	0.4857143
GO Biological Process	GO:0015697	quaternary ammonium group transport	353	1.435568e-06	0.01498733	4.245703e-05	3.964283	4.540543	18	0.001124453	0.004457652	675	0.001946026	1	0.03009854	2.529089	3.953994	10	18	0.002523341	0.5555556
GO Biological Process	GO:0038084	vascular endothelial growth factor signaling pathway	354	1.449342e-06	0.01513113	4.274331e-05	2.799423	10.35928	29	0.002565448	0.007181773	729	0.002364019	1	0.03385509	2.801452	2.855662	8	13	0.002018673	0.6153846
GO Biological Process	GO:0090022	regulation of neutrophil chemotaxis	361	1.650622e-06	0.01723249	4.773544e-05	2.979201	8.727173	26	0.002161261	0.006438831	696	0.002173523	1	0.03260284	2.384569	4.612993	11	21	0.002775675	0.5238095
GO Biological Process	GO:0043467	regulation of generation of precursor metabolites and energy	370	2.009131e-06	0.02097533	5.669007e-05	2.055717	25.29531	52	0.006264316	0.01287766	611	0.001224425	1	0.02092144	1.820944	13.17998	24	60	0.006056018	0.4
GO Biological Process	GO:0033197	response to vitamin E	420	4.684319e-06	0.04890429	0.0001164388	3.037113	7.572981	23	0.001875429	0.005695889	783	0.003476902	1	0.04635869	2.896956	2.416329	7	11	0.001766339	0.6363636
GO Biological Process	GO:0042482	positive regulation of odontogenesis	437	5.229896e-06	0.05460011	0.0001249431	3.325755	6.013672	20	0.00148927	0.004952947	539	0.000636675	1	0.01233189	3.902022	1.537664	6	7	0.001514005	0.8571429
GO Biological Process	GO:0015893	drug transport	458	8.154889e-06	0.08513704	0.0001858887	2.462507	12.5888	31	0.003117582	0.007677068	286	1.404593e-05	0.1466395	0.0005127256	2.643305	6.809656	18	31	0.004542014	0.5806452
GO Biological Process	GO:0071622	regulation of granulocyte chemotaxis	477	1.038478e-05	0.1084171	0.0002272895	2.391989	13.37799	32	0.003313023	0.007924715	397	9.882155e-05	1	0.002598733	2.511647	6.370323	16	29	0.004037345	0.5517241
